"SEQN","indice_pobreza","indice_pobreza_cat"
73557,0.86,"pobreza"
73558,0.92,"pobreza"
73559,4.37,"medio_alto"
73561,5,"medio_alto"
73562,5,"medio_alto"
73564,4.18,"medio_alto"
73566,0.51,"pobreza"
73567,1.14,"pobreza"
73568,3.03,"medio_alto"
73571,5,"medio_alto"
73574,5,"medio_alto"
73577,0.3,"pobreza"
73578,NA,"pobreza"
73580,NA,"pobreza"
73581,5,"medio_alto"
73585,4.64,"medio_alto"
73589,1.46,"bajo_ingreso"
73592,2.06,"medio_alto"
73594,0.41,"pobreza"
73595,2.32,"medio_alto"
73596,2.43,"medio_alto"
73597,1.83,"bajo_ingreso"
73598,NA,NA
73600,0.76,"pobreza"
73603,2.52,"medio_alto"
73604,2.72,"medio_alto"
73607,1.22,"pobreza"
73610,1.88,"medio_alto"
73613,2.28,"medio_alto"
73614,0.67,"pobreza"
73615,1.25,"pobreza"
73616,5,"medio_alto"
73618,NA,"pobreza"
73619,0.93,"pobreza"
73621,4.64,"medio_alto"
73622,5,"medio_alto"
73623,4.03,"medio_alto"
73626,1.21,"pobreza"
73628,2.16,"medio_alto"
73629,2.18,"medio_alto"
73631,1.04,"pobreza"
73632,2.29,"medio_alto"
73633,4.78,"medio_alto"
73638,2.3,"medio_alto"
73639,1.6,"bajo_ingreso"
73640,1.54,"bajo_ingreso"
73641,0.72,"pobreza"
73642,3.03,"medio_alto"
73643,1.78,"bajo_ingreso"
73645,3,"medio_alto"
73647,2.76,"medio_alto"
73652,1.91,"medio_alto"
73654,NA,"pobreza"
73655,1.72,"bajo_ingreso"
73656,4.28,"medio_alto"
73657,1.52,"bajo_ingreso"
73658,2.76,"medio_alto"
73659,3.87,"medio_alto"
73660,1.82,"bajo_ingreso"
73661,3.34,"medio_alto"
73662,0.59,"pobreza"
73663,4.94,"medio_alto"
73665,NA,"pobreza"
73666,3.81,"medio_alto"
73667,0.65,"pobreza"
73668,0.4,"pobreza"
73670,0.88,"pobreza"
73671,0.82,"pobreza"
73672,5,"medio_alto"
73673,5,"medio_alto"
73674,NA,"bajo_ingreso"
73675,0.86,"pobreza"
73676,1.41,"bajo_ingreso"
73677,5,"medio_alto"
73678,0.41,"pobreza"
73684,5,"medio_alto"
73688,1.6,"bajo_ingreso"
73690,2.63,"medio_alto"
73692,0.85,"pobreza"
73693,0.8,"pobreza"
73694,4.37,"medio_alto"
73697,3.05,"medio_alto"
73698,1.85,"bajo_ingreso"
73699,NA,NA
73701,4.53,"medio_alto"
73702,3.05,"medio_alto"
73703,NA,NA
73706,1.38,"bajo_ingreso"
73707,NA,NA
73708,5,"medio_alto"
73709,NA,NA
73712,5,"medio_alto"
73714,4.12,"medio_alto"
73715,2.46,"medio_alto"
73716,5,"medio_alto"
73717,1.7,"bajo_ingreso"
73718,0.74,"pobreza"
73720,2.43,"medio_alto"
73722,3.13,"medio_alto"
